"run","randomSeed","perception_radius","treasure_count","area_dimensions","navigation_memory","treasure_value","treasure_decay_rate","explorer_count"
1,-324430487,3,10,40,0.1,1000.0,0.01,100
3,-324427441,3,10,40,0.1,1000.0,0.01,300
5,-324424550,3,10,40,0.3,1000.0,0.01,200
7,-324422515,3,10,40,0.5,1000.0,0.01,100
9,-324421761,3,10,40,0.5,1000.0,0.01,300
11,-324419050,3,10,70,0.1,1000.0,0.01,200
13,-324408556,3,10,70,0.3,1000.0,0.01,100
15,-324404183,3,10,70,0.3,1000.0,0.01,300
17,-324382682,3,10,70,0.5,1000.0,0.01,200
19,-324373105,3,10,100,0.1,1000.0,0.01,100
21,-324353493,3,10,100,0.1,1000.0,0.01,300
23,-324302022,3,10,100,0.3,1000.0,0.01,200
25,-324267261,3,10,100,0.5,1000.0,0.01,100
27,-324247176,3,10,100,0.5,1000.0,0.01,300
29,-324194160,3,30,40,0.1,1000.0,0.01,200
31,-324193946,3,30,40,0.3,1000.0,0.01,100
33,-324193702,3,30,40,0.3,1000.0,0.01,300
35,-324193284,3,30,40,0.5,1000.0,0.01,200
37,-324192984,3,30,70,0.1,1000.0,0.01,100
39,-324190608,3,30,70,0.1,1000.0,0.01,300
41,-324182756,3,30,70,0.3,1000.0,0.01,200
43,-324179283,3,30,70,0.5,1000.0,0.01,100
45,-324176346,3,30,70,0.5,1000.0,0.01,300
47,-324170187,3,30,100,0.1,1000.0,0.01,200
49,-324153879,3,30,100,0.3,1000.0,0.01,100
51,-324146228,3,30,100,0.3,1000.0,0.01,300
53,-324123039,3,30,100,0.5,1000.0,0.01,200
55,-324108393,3,50,40,0.1,1000.0,0.01,100
57,-324108349,3,50,40,0.1,1000.0,0.01,300
59,-324108164,3,50,40,0.3,1000.0,0.01,200
61,-324107952,3,50,40,0.5,1000.0,0.01,100
63,-324107897,3,50,40,0.5,1000.0,0.01,300
65,-324107591,3,50,70,0.1,1000.0,0.01,200
67,-324104978,3,50,70,0.3,1000.0,0.01,100
69,-324103920,3,50,70,0.3,1000.0,0.01,300
71,-324099534,3,50,70,0.5,1000.0,0.01,200
73,-324097014,3,50,100,0.1,1000.0,0.01,100
75,-324092071,3,50,100,0.1,1000.0,0.01,300
77,-324074315,3,50,100,0.3,1000.0,0.01,200
79,-324060148,3,50,100,0.5,1000.0,0.01,100
81,-324056033,3,50,100,0.5,1000.0,0.01,300
83,-324038321,4,10,40,0.1,1000.0,0.01,200
85,-324036513,4,10,40,0.3,1000.0,0.01,100
87,-324035842,4,10,40,0.3,1000.0,0.01,300
89,-324033235,4,10,40,0.5,1000.0,0.01,200
91,-324032414,4,10,70,0.1,1000.0,0.01,100
93,-324028674,4,10,70,0.1,1000.0,0.01,300
95,-324015701,4,10,70,0.3,1000.0,0.01,200
97,-324007857,4,10,70,0.5,1000.0,0.01,100
99,-324003281,4,10,70,0.5,1000.0,0.01,300
101,-323985982,4,10,100,0.1,1000.0,0.01,200
103,-323954626,4,10,100,0.3,1000.0,0.01,100
105,-323934850,4,10,100,0.3,1000.0,0.01,300
107,-323889261,4,10,100,0.5,1000.0,0.01,200
109,-323851364,4,30,40,0.1,1000.0,0.01,100
111,-323851276,4,30,40,0.1,1000.0,0.01,300
113,-323850737,4,30,40,0.3,1000.0,0.01,200
115,-323850513,4,30,40,0.5,1000.0,0.01,100
117,-323850399,4,30,40,0.5,1000.0,0.01,300
119,-323850065,4,30,70,0.1,1000.0,0.01,200
121,-323845667,4,30,70,0.3,1000.0,0.01,100
