"run","randomSeed","perception_radius","treasure_count","area_dimensions","navigation_memory","treasure_value","treasure_decay_rate","explorer_count"
1,-316582320,3,10,40,0.1,1000.0,0.01,100
3,-316581046,3,10,40,0.1,1000.0,0.01,300
5,-316577124,3,10,40,0.3,1000.0,0.01,200
7,-316575687,3,10,40,0.5,1000.0,0.01,100
9,-316574781,3,10,40,0.5,1000.0,0.01,300
11,-316572403,3,10,70,0.1,1000.0,0.01,200
13,-316564937,3,10,70,0.3,1000.0,0.01,100
15,-316561530,3,10,70,0.3,1000.0,0.01,300
17,-316549470,3,10,70,0.5,1000.0,0.01,200
19,-316540343,3,10,100,0.1,1000.0,0.01,100
21,-316514281,3,10,100,0.1,1000.0,0.01,300
23,-316459481,3,10,100,0.3,1000.0,0.01,200
25,-316431792,3,10,100,0.5,1000.0,0.01,100
27,-316411996,3,10,100,0.5,1000.0,0.01,300
29,-316356018,3,30,40,0.1,1000.0,0.01,200
31,-316355741,3,30,40,0.3,1000.0,0.01,100
33,-316355584,3,30,40,0.3,1000.0,0.01,300
35,-316355003,3,30,40,0.5,1000.0,0.01,200
37,-316354681,3,30,70,0.1,1000.0,0.01,100
39,-316352921,3,30,70,0.1,1000.0,0.01,300
41,-316346015,3,30,70,0.3,1000.0,0.01,200
43,-316342637,3,30,70,0.5,1000.0,0.01,100
45,-316340061,3,30,70,0.5,1000.0,0.01,300
47,-316334937,3,30,100,0.1,1000.0,0.01,200
49,-316314030,3,30,100,0.3,1000.0,0.01,100
51,-316303797,3,30,100,0.3,1000.0,0.01,300
53,-316282203,3,30,100,0.5,1000.0,0.01,200
55,-316268734,3,50,40,0.1,1000.0,0.01,100
57,-316268656,3,50,40,0.1,1000.0,0.01,300
59,-316268437,3,50,40,0.3,1000.0,0.01,200
61,-316268327,3,50,40,0.5,1000.0,0.01,100
63,-316268234,3,50,40,0.5,1000.0,0.01,300
65,-316268031,3,50,70,0.1,1000.0,0.01,200
67,-316265796,3,50,70,0.3,1000.0,0.01,100
69,-316264774,3,50,70,0.3,1000.0,0.01,300
71,-316260417,3,50,70,0.5,1000.0,0.01,200
73,-316259062,3,50,100,0.1,1000.0,0.01,100
75,-316254219,3,50,100,0.1,1000.0,0.01,300
77,-316242202,3,50,100,0.3,1000.0,0.01,200
79,-316232155,3,50,100,0.5,1000.0,0.01,100
81,-316225484,3,50,100,0.5,1000.0,0.01,300
83,-316209249,4,10,40,0.1,1000.0,0.01,200
85,-316208187,4,10,40,0.3,1000.0,0.01,100
87,-316207539,4,10,40,0.3,1000.0,0.01,300
89,-316206435,4,10,40,0.5,1000.0,0.01,200
91,-316205762,4,10,70,0.1,1000.0,0.01,100
93,-316200384,4,10,70,0.1,1000.0,0.01,300
95,-316189807,4,10,70,0.3,1000.0,0.01,200
97,-316183421,4,10,70,0.5,1000.0,0.01,100
99,-316179016,4,10,70,0.5,1000.0,0.01,300
101,-316169493,4,10,100,0.1,1000.0,0.01,200
103,-316142937,4,10,100,0.3,1000.0,0.01,100
105,-316124029,4,10,100,0.3,1000.0,0.01,300
107,-316074531,4,10,100,0.5,1000.0,0.01,200
109,-316046912,4,30,40,0.1,1000.0,0.01,100
111,-316046834,4,30,40,0.1,1000.0,0.01,300
113,-316046475,4,30,40,0.3,1000.0,0.01,200
115,-316046307,4,30,40,0.5,1000.0,0.01,100
117,-316046185,4,30,40,0.5,1000.0,0.01,300
119,-316045951,4,30,70,0.1,1000.0,0.01,200
121,-316043248,4,30,70,0.3,1000.0,0.01,100
123,-316042234,4,30,70,0.3,1000.0,0.01,300
125,-316036812,4,30,70,0.5,1000.0,0.01,200
127,-316033249,4,30,100,0.1,1000.0,0.01,100
129,-316026854,4,30,100,0.1,1000.0,0.01,300
131,-316001796,4,30,100,0.3,1000.0,0.01,200
133,-315990202,4,30,100,0.5,1000.0,0.01,100
135,-315984749,4,30,100,0.5,1000.0,0.01,300
137,-315969437,4,50,40,0.1,1000.0,0.01,200
139,-315969374,4,50,40,0.3,1000.0,0.01,100
141,-315969323,4,50,40,0.3,1000.0,0.01,300
143,-315969202,4,50,40,0.5,1000.0,0.01,200
145,-315969140,4,50,70,0.1,1000.0,0.01,100
147,-315968468,4,50,70,0.1,1000.0,0.01,300
149,-315966317,4,50,70,0.3,1000.0,0.01,200
151,-315964062,4,50,70,0.5,1000.0,0.01,100
153,-315963281,4,50,70,0.5,1000.0,0.01,300
155,-315961718,4,50,100,0.1,1000.0,0.01,200
157,-315953353,4,50,100,0.3,1000.0,0.01,100
159,-315949874,4,50,100,0.3,1000.0,0.01,300
161,-315941218,4,50,100,0.5,1000.0,0.01,200
163,-315932045,5,10,40,0.1,1000.0,0.01,100
165,-315931827,5,10,40,0.1,1000.0,0.01,300
167,-315930469,5,10,40,0.3,1000.0,0.01,200
169,-315929906,5,10,40,0.5,1000.0,0.01,100
171,-315929546,5,10,40,0.5,1000.0,0.01,300
173,-315928681,5,10,70,0.1,1000.0,0.01,200
175,-315918718,5,10,70,0.3,1000.0,0.01,100
177,-315914281,5,10,70,0.3,1000.0,0.01,300
179,-315900518,5,10,70,0.5,1000.0,0.01,200
181,-315892766,5,10,100,0.1,1000.0,0.01,100
183,-315876249,5,10,100,0.1,1000.0,0.01,300
185,-315826546,5,10,100,0.3,1000.0,0.01,200
187,-315800686,5,10,100,0.5,1000.0,0.01,100
189,-315790202,5,10,100,0.5,1000.0,0.01,300
191,-315762624,5,30,40,0.1,1000.0,0.01,200
193,-315762484,5,30,40,0.3,1000.0,0.01,100
195,-315762421,5,30,40,0.3,1000.0,0.01,300
197,-315761999,5,30,40,0.5,1000.0,0.01,200
199,-315761843,5,30,70,0.1,1000.0,0.01,100
201,-315761249,5,30,70,0.1,1000.0,0.01,300
203,-315758499,5,30,70,0.3,1000.0,0.01,200
205,-315756250,5,30,70,0.5,1000.0,0.01,100
207,-315754718,5,30,70,0.5,1000.0,0.01,300
209,-315749594,5,30,100,0.1,1000.0,0.01,200
211,-315738983,5,30,100,0.3,1000.0,0.01,100
213,-315735109,5,30,100,0.3,1000.0,0.01,300
215,-315713093,5,30,100,0.5,1000.0,0.01,200
217,-315702890,5,50,40,0.1,1000.0,0.01,100
219,-315702843,5,50,40,0.1,1000.0,0.01,300
221,-315702703,5,50,40,0.3,1000.0,0.01,200
223,-315702609,5,50,40,0.5,1000.0,0.01,100
225,-315702562,5,50,40,0.5,1000.0,0.01,300
227,-315702421,5,50,70,0.1,1000.0,0.01,200
229,-315701656,5,50,70,0.3,1000.0,0.01,100
231,-315701140,5,50,70,0.3,1000.0,0.01,300
233,-315699793,5,50,70,0.5,1000.0,0.01,200
235,-315698859,5,50,100,0.1,1000.0,0.01,100
237,-315696533,5,50,100,0.1,1000.0,0.01,300
239,-315687531,5,50,100,0.3,1000.0,0.01,200
241,-315682056,5,50,100,0.5,1000.0,0.01,100
243,-315677179,5,50,100,0.5,1000.0,0.01,300
245,-315669452,6,10,40,0.1,1000.0,0.01,200
247,-315668449,6,10,40,0.3,1000.0,0.01,100
249,-315667906,6,10,40,0.3,1000.0,0.01,300
251,-315667224,6,10,40,0.5,1000.0,0.01,200
253,-315666350,6,10,70,0.1,1000.0,0.01,100
255,-315660405,6,10,70,0.1,1000.0,0.01,300
257,-315648531,6,10,70,0.3,1000.0,0.01,200
259,-315641015,6,10,70,0.5,1000.0,0.01,100
261,-315639076,6,10,70,0.5,1000.0,0.01,300
263,-315629984,6,10,100,0.1,1000.0,0.01,200
265,-315589670,6,10,100,0.3,1000.0,0.01,100
267,-315577825,6,10,100,0.3,1000.0,0.01,300
269,-315544445,6,10,100,0.5,1000.0,0.01,200
271,-315524045,6,30,40,0.1,1000.0,0.01,100
273,-315523998,6,30,40,0.1,1000.0,0.01,300
275,-315523717,6,30,40,0.3,1000.0,0.01,200
277,-315523603,6,30,40,0.5,1000.0,0.01,100
279,-315523540,6,30,40,0.5,1000.0,0.01,300
281,-315523368,6,30,70,0.1,1000.0,0.01,200
283,-315521801,6,30,70,0.3,1000.0,0.01,100
285,-315521218,6,30,70,0.3,1000.0,0.01,300
287,-315517375,6,30,70,0.5,1000.0,0.01,200
289,-315516107,6,30,100,0.1,1000.0,0.01,100
291,-315511309,6,30,100,0.1,1000.0,0.01,300
293,-315496978,6,30,100,0.3,1000.0,0.01,200
295,-315488491,6,30,100,0.5,1000.0,0.01,100
297,-315484570,6,30,100,0.5,1000.0,0.01,300
299,-315469734,6,50,40,0.1,1000.0,0.01,200
301,-315469640,6,50,40,0.3,1000.0,0.01,100
303,-315469593,6,50,40,0.3,1000.0,0.01,300
305,-315469453,6,50,40,0.5,1000.0,0.01,200
307,-315469343,6,50,70,0.1,1000.0,0.01,100
309,-315468765,6,50,70,0.1,1000.0,0.01,300
311,-315467702,6,50,70,0.3,1000.0,0.01,200
313,-315467296,6,50,70,0.5,1000.0,0.01,100
315,-315466906,6,50,70,0.5,1000.0,0.01,300
317,-315465718,6,50,100,0.1,1000.0,0.01,200
319,-315461921,6,50,100,0.3,1000.0,0.01,100
321,-315459258,6,50,100,0.3,1000.0,0.01,300
323,-315453529,6,50,100,0.5,1000.0,0.01,200
2,-316582445,3,10,40,0.1,1000.0,0.01,200
4,-316579672,3,10,40,0.3,1000.0,0.01,100
6,-316578843,3,10,40,0.3,1000.0,0.01,300
8,-316576046,3,10,40,0.5,1000.0,0.01,200
10,-316575015,3,10,70,0.1,1000.0,0.01,100
12,-316570047,3,10,70,0.1,1000.0,0.01,300
14,-316553469,3,10,70,0.3,1000.0,0.01,200
16,-316539249,3,10,70,0.5,1000.0,0.01,100
18,-316533874,3,10,70,0.5,1000.0,0.01,300
20,-316520679,3,10,100,0.1,1000.0,0.01,200
22,-316493030,3,10,100,0.3,1000.0,0.01,100
24,-316475983,3,10,100,0.3,1000.0,0.01,300
26,-316422754,3,10,100,0.5,1000.0,0.01,200
28,-316381109,3,30,40,0.1,1000.0,0.01,100
30,-316380984,3,30,40,0.1,1000.0,0.01,300
32,-316380547,3,30,40,0.3,1000.0,0.01,200
34,-316380202,3,30,40,0.5,1000.0,0.01,100
36,-316380046,3,30,40,0.5,1000.0,0.01,300
38,-316379605,3,30,70,0.1,1000.0,0.01,200
40,-316376295,3,30,70,0.3,1000.0,0.01,100
42,-316374447,3,30,70,0.3,1000.0,0.01,300
44,-316369483,3,30,70,0.5,1000.0,0.01,200
46,-316365406,3,30,100,0.1,1000.0,0.01,100
48,-316359287,3,30,100,0.1,1000.0,0.01,300
50,-316332422,3,30,100,0.3,1000.0,0.01,200
52,-316316921,3,30,100,0.5,1000.0,0.01,100
54,-316311297,3,30,100,0.5,1000.0,0.01,300
56,-316285405,3,50,40,0.1,1000.0,0.01,200
58,-316285295,3,50,40,0.3,1000.0,0.01,100
60,-316285250,3,50,40,0.3,1000.0,0.01,300
62,-316285031,3,50,40,0.5,1000.0,0.01,200
64,-316284687,3,50,70,0.1,1000.0,0.01,100
66,-316283655,3,50,70,0.1,1000.0,0.01,300
68,-316279999,3,50,70,0.3,1000.0,0.01,200
70,-316278233,3,50,70,0.5,1000.0,0.01,100
72,-316277210,3,50,70,0.5,1000.0,0.01,300
74,-316273983,3,50,100,0.1,1000.0,0.01,200
76,-316264524,3,50,100,0.3,1000.0,0.01,100
78,-316256281,3,50,100,0.3,1000.0,0.01,300
80,-316244328,3,50,100,0.5,1000.0,0.01,200
82,-316234599,4,10,40,0.1,1000.0,0.01,100
84,-316233984,4,10,40,0.1,1000.0,0.01,300
86,-316232890,4,10,40,0.3,1000.0,0.01,200
88,-316231740,4,10,40,0.5,1000.0,0.01,100
90,-316231381,4,10,40,0.5,1000.0,0.01,300
92,-316228093,4,10,70,0.1,1000.0,0.01,200
94,-316219607,4,10,70,0.3,1000.0,0.01,100
96,-316214874,4,10,70,0.3,1000.0,0.01,300
98,-316198562,4,10,70,0.5,1000.0,0.01,200
100,-316190166,4,10,100,0.1,1000.0,0.01,100
102,-316177384,4,10,100,0.1,1000.0,0.01,300
104,-316133766,4,10,100,0.3,1000.0,0.01,200
106,-316089328,4,10,100,0.5,1000.0,0.01,100
108,-316070703,4,10,100,0.5,1000.0,0.01,300
110,-316019171,4,30,40,0.1,1000.0,0.01,200
112,-316018828,4,30,40,0.3,1000.0,0.01,100
114,-316018718,4,30,40,0.3,1000.0,0.01,300
116,-316018469,4,30,40,0.5,1000.0,0.01,200
118,-316018233,4,30,70,0.1,1000.0,0.01,100
120,-316017367,4,30,70,0.1,1000.0,0.01,300
122,-316013703,4,30,70,0.3,1000.0,0.01,200
124,-316011187,4,30,70,0.5,1000.0,0.01,100
126,-316009875,4,30,70,0.5,1000.0,0.01,300
128,-316005921,4,30,100,0.1,1000.0,0.01,200
130,-315993608,4,30,100,0.3,1000.0,0.01,100
132,-315988921,4,30,100,0.3,1000.0,0.01,300
134,-315973312,4,30,100,0.5,1000.0,0.01,200
136,-315961937,4,50,40,0.1,1000.0,0.01,100
138,-315961827,4,50,40,0.1,1000.0,0.01,300
140,-315961609,4,50,40,0.3,1000.0,0.01,200
142,-315961515,4,50,40,0.5,1000.0,0.01,100
